time,sst_ersst,sst_era5
1940-01-01,27.2745,27.2913
1940-02-01,27.4393,27.8014
1940-03-01,28.1738,28.4495
1940-04-01,27.9688,28.2009
1940-05-01,28.2016,29.5856
1940-06-01,27.8885,29.0156
1940-07-01,27.5062,28.5762
1940-08-01,27.6077,28.2693
1940-09-01,27.3681,27.4225
1940-10-01,27.0215,26.8777
1940-11-01,27.9328,27.7914
1940-12-01,28.4649,27.703
1941-01-01,28.384,28.1286
1941-02-01,28.6927,28.5528
1941-03-01,28.5948,28.8652
1941-04-01,28.5802,29.6985
1941-05-01,28.7281,28.9341
1941-06-01,28.1839,28.7261
1941-07-01,27.6601,28.3294
1941-08-01,27.2634,27.7463
1941-09-01,27.03,27.3984
1941-10-01,27.2753,27.5117
1941-11-01,27.5804,28.1226
1941-12-01,27.5857,27.7838
1942-01-01,27.0319,27.4341
1942-02-01,26.8999,27.2358
1942-03-01,27.4344,27.2016
1942-04-01,27.9075,28.1082
1942-05-01,27.6312,27.6612
1942-06-01,26.9887,27.4687
1942-07-01,25.7833,26.686
1942-08-01,25.0435,25.2773
1942-09-01,24.5706,25.1552
1942-10-01,24.5186,25.3081
1942-11-01,24.4768,24.8555
1942-12-01,24.4608,24.9935
1943-01-01,24.326,25.0047
1943-02-01,24.5857,25.5064
1943-03-01,25.7123,25.52
1943-04-01,26.623,26.6714
1943-05-01,27.1678,27.3241
1943-06-01,27.2306,27.7688
1943-07-01,26.8476,27.213
1943-08-01,26.5389,26.5994
1943-09-01,25.9902,26.419
1943-10-01,25.6957,25.6276
1943-11-01,25.8523,25.6851
1943-12-01,25.86,25.5983
1944-01-01,25.903,25.5924
1944-02-01,26.4722,26.0612
1944-03-01,27.4643,27.4053
1944-04-01,28.0159,27.9143
1944-05-01,27.7916,27.9236
1944-06-01,27.43,27.6618
1944-07-01,27.1578,27.2043
1944-08-01,26.4837,26.69
1944-09-01,25.9765,26.2126
1944-10-01,25.367,26.0089
1944-11-01,25.6324,26.0793
1944-12-01,25.6718,25.9403
1945-01-01,25.6734,25.9151
1945-02-01,25.7954,26.0846
1945-03-01,26.1606,26.3145
1945-04-01,26.682,27.0246
1945-05-01,27.4337,26.9871
1945-06-01,26.3882,28.8017
1945-07-01,26.2289,27.3854
1945-08-01,25.9187,26.1175
1945-09-01,26.0527,26.1043
1945-10-01,24.6537,26.5969
1945-11-01,26.2835,26.1837
1945-12-01,26.2734,26.1428
1946-01-01,26.2574,25.2417
1946-02-01,25.4345,26.561
1946-03-01,26.31,25.655
1946-04-01,27.1585,26.8323
1946-05-01,27.5659,27.5829
1946-06-01,26.5522,27.7531
1946-07-01,25.7973,27.6174
1946-08-01,24.8545,26.3272
1946-09-01,25.0322,26.1854
1946-10-01,25.8169,27.0698
1946-11-01,25.8986,26.8802
1946-12-01,26.9379,26.9838
1947-01-01,26.3127,27.1924
1947-02-01,26.5777,26.9626
1947-03-01,27.0941,27.2373
1947-04-01,27.5026,27.2366
1947-05-01,27.9863,27.1258
1947-06-01,27.3687,26.9968
1947-07-01,26.6536,27.0928
1947-08-01,26.0383,27.0345
1947-09-01,26.0489,26.5608
1947-10-01,25.0032,26.4535
1947-11-01,24.8112,26.1448
1947-12-01,26.3648,27.0197
1948-01-01,26.7612,26.1692
1948-02-01,27.0593,27.0637
1948-03-01,26.4077,27.417
1948-04-01,27.7982,28.5826
1948-05-01,28.0517,28.0516
1948-06-01,26.9396,27.7176
1948-07-01,26.0301,27.141
1948-08-01,25.5868,26.6963
1948-09-01,25.3479,26.4924
1948-10-01,25.1785,25.5012
1948-11-01,25.0524,26.055
1948-12-01,25.8659,27.1404
1949-01-01,25.9533,26.264
1949-02-01,25.9882,27.7798
1949-03-01,26.7786,27.1113
1949-04-01,27.3521,27.7308
1949-05-01,26.8909,28.2674
1949-06-01,26.4032,27.5656
1949-07-01,26.1208,27.2121
1949-08-01,25.942,26.6226
1949-09-01,25.8265,25.6453
1949-10-01,25.4528,26.2105
1949-11-01,25.0106,25.7297
1949-12-01,24.523,25.4953
1950-01-01,24.5597,25.679
1950-02-01,25.0685,25.6151
1950-03-01,25.879,26.3739
1950-04-01,26.2885,26.8249
1950-05-01,26.1931,27.2844
1950-06-01,26.4686,27.2165
1950-07-01,26.281,26.5616
1950-08-01,25.879,26.1832
1950-09-01,25.7319,25.4286
1950-10-01,25.6833,25.9005
1950-11-01,25.4634,25.7127
1950-12-01,25.2928,26.1016
1951-01-01,25.2549,25.4751
1951-02-01,25.7248,26.3563
1951-03-01,26.9116,26.5938
1951-04-01,27.5927,27.8368
1951-05-01,27.9265,28.6655
1951-06-01,27.7283,27.9201
1951-07-01,27.592,28.9707
1951-08-01,27.0142,27.7178
1951-09-01,27.2199,27.034
1951-10-01,27.196,27.8073
1951-11-01,27.2517,27.9416
1951-12-01,26.916,28.0154
1952-01-01,26.6747,27.4918
1952-02-01,26.7522,27.6867
1952-03-01,27.1863,27.4121
1952-04-01,27.809,28.6294
1952-05-01,27.7915,27.994
1952-06-01,27.1808,27.292
1952-07-01,26.5252,26.9688
1952-08-01,26.2959,26.5856
1952-09-01,26.3526,26.2011
1952-10-01,26.2534,26.4847
1952-11-01,25.9161,26.5233
1952-12-01,26.2062,26.9373
1953-01-01,26.7382,27.1928
1953-02-01,27.001,27.229
1953-03-01,27.5707,27.6243
1953-04-01,28.0321,28.2277
1953-05-01,28.2752,28.9345
1953-06-01,28.1161,28.1597
1953-07-01,27.4245,27.971
1953-08-01,26.9309,27.3643
1953-09-01,26.9976,27.7199
1953-10-01,26.8678,27.0787
1953-11-01,26.8763,26.5798
1953-12-01,27.0055,26.5575
1954-01-01,26.9767,27.1671
1954-02-01,27.0298,26.7976
1954-03-01,26.9105,27.0061
1954-04-01,26.6496,27.0374
1954-05-01,27.1138,27.1952
1954-06-01,26.7893,27.1506
1954-07-01,26.1038,26.2244
1954-08-01,25.4187,26.1923
1954-09-01,25.1114,25.4367
1954-10-01,25.2246,25.8364
1954-11-01,25.5641,25.6728
1954-12-01,25.2612,25.5097
1955-01-01,25.62,25.3295
1955-02-01,25.8178,25.8889
1955-03-01,26.2303,26.5819
1955-04-01,26.6098,26.5067
1955-05-01,26.6546,27.2203
1955-06-01,26.5424,26.6188
1955-07-01,26.139,26.4932
1955-08-01,25.503,25.8485
1955-09-01,25.2767,25.2504
1955-10-01,24.4081,24.4802
1955-11-01,24.2518,24.4729
1955-12-01,24.5693,24.7115
1956-01-01,25.3438,25.5781
1956-02-01,25.775,25.614
