+------+--------+-------+------------+
| year | season | oni_c | enso_phase |
+------+--------+-------+------------+
| 1950 | DJF    | -0.95 | La Niña    |
| 1950 | JFM    | -0.86 | La Niña    |
| 1950 | FMA    | -0.87 | La Niña    |
| 1950 | MAM    | -0.72 | La Niña    |
| 1950 | AMJ    | -0.65 | La Niña    |
| 1950 | MJJ    | -0.63 | La Niña    |
| 1950 | JJA    | -0.6  | La Niña    |
| 1950 | JAS    | -0.72 | La Niña    |
| 1950 | ASO    | -0.65 | La Niña    |
| 1950 | SON    | -0.68 | La Niña    |
| 1950 | OND    | -0.53 | La Niña    |
| 1950 | NDJ    | -0.67 | La Niña    |
| 1951 | DJF    | -0.57 | La Niña    |
| 1951 | JFM    | -0.6  | La Niña    |
| 1951 | FMA    | -0.22 | Neutral    |
| 1951 | MAM    | 0.15  | Neutral    |
| 1951 | AMJ    | 0.38  | Neutral    |
| 1951 | MJJ    | 0.87  | El Niño    |
| 1951 | JJA    | 0.95  | El Niño    |
| 1951 | JAS    | 1.13  | El Niño    |
| 1951 | ASO    | 1.03  | El Niño    |
| 1951 | SON    | 1.23  | El Niño    |
| 1951 | OND    | 1.49  | El Niño    |
| 1951 | NDJ    | 1.39  | El Niño    |
| 1952 | DJF    | 1.19  | El Niño    |
| 1952 | JFM    | 0.79  | El Niño    |
| 1952 | FMA    | 0.76  | El Niño    |
| 1952 | MAM    | 0.46  | Neutral    |
| 1952 | AMJ    | 0.21  | Neutral    |
| 1952 | MJJ    | -0.23 | Neutral    |
| 1952 | JJA    | -0.31 | Neutral    |
| 1952 | JAS    | -0.19 | Neutral    |
| 1952 | ASO    | -0.07 | Neutral    |
| 1952 | SON    | 0.04  | Neutral    |
| 1952 | OND    | 0.21  | Neutral    |
| 1952 | NDJ    | 0.45  | Neutral    |
| 1953 | DJF    | 0.57  | El Niño    |
| 1953 | JFM    | 0.6   | El Niño    |
| 1953 | FMA    | 0.55  | El Niño    |
| 1953 | MAM    | 0.71  | El Niño    |
| 1953 | AMJ    | 0.68  | El Niño    |
| 1953 | MJJ    | 0.71  | El Niño    |
| 1953 | JJA    | 0.58  | El Niño    |
| 1953 | JAS    | 0.91  | El Niño    |
| 1953 | ASO    | 0.9   | El Niño    |
| 1953 | SON    | 0.76  | El Niño    |
| 1953 | OND    | 0.3   | Neutral    |
| 1953 | NDJ    | 0.34  | Neutral    |
| 1954 | DJF    | 0.29  | Neutral    |
| 1954 | JFM    | 0.25  | Neutral    |
| 1954 | FMA    | -0.2  | Neutral    |
| 1954 | MAM    | -0.47 | Neutral    |
| 1954 | AMJ    | -0.63 | La Niña    |
| 1954 | MJJ    | -0.79 | La Niña    |
| 1954 | JJA    | -0.73 | La Niña    |
| 1954 | JAS    | -0.82 | La Niña    |
| 1954 | ASO    | -0.67 | La Niña    |
| 1954 | SON    | -0.72 | La Niña    |
| 1954 | OND    | -0.76 | La Niña    |
| 1954 | NDJ    | -0.93 | La Niña    |
| 1955 | DJF    | -0.97 | La Niña    |
| 1955 | JFM    | -0.81 | La Niña    |
| 1955 | FMA    | -0.82 | La Niña    |
| 1955 | MAM    | -0.78 | La Niña    |
| 1955 | AMJ    | -0.98 | La Niña    |
| 1955 | MJJ    | -0.87 | La Niña    |
| 1955 | JJA    | -0.93 | La Niña    |
| 1955 | JAS    | -0.91 | La Niña    |
| 1955 | ASO    | -1.3  | La Niña    |
| 1955 | SON    | -1.63 | La Niña    |
| 1955 | OND    | -1.88 | La Niña    |
| 1955 | NDJ    | -1.52 | La Niña    |
| 1956 | DJF    | -1.26 | La Niña    |
| 1956 | JFM    | -0.91 | La Niña    |
| 1956 | FMA    | -0.79 | La Niña    |
| 1956 | MAM    | -0.85 | La Niña    |
